Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"MARSHALL MEDICAL CENTER SOUTH",3,1,3,2,2,2,3,1
"DEKALB REGIONAL MEDICAL CENTER",3,9,3,2,2,2,3,2
"CRESTWOOD MEDICAL CENTER",3,9,3,3,2,2,2,2
"CHI-ST VINCENT INFIRMARY",2,5,3,1,1,2,2,2
"OUACHITA COUNTY MEDICAL CENTER",4,5,2,2,3,2,2,2
"WHITE MEMORIAL MEDICAL CENTER",3,6,1,1,1,2,1,2
"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA",5,5,2,2,3,2,2,3
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN",4,5,1,3,3,2,2,1
"MERCY MEDICAL CENTER REDDING",3,5,3,3,1,2,1,3
"SUTTER ROSEVILLE MEDICAL CENTER",4,7,2,2,2,2,1,3
"EDEN MEDICAL CENTER",3,7,2,2,2,2,1,2
"MISSION HOSPITAL REGIONAL MED CENTER",3,5,2,1,1,2,1,1
"STAMFORD HOSPITAL",3,5,1,1,2,2,2,3
"BRISTOL HOSPITAL",3,5,2,3,3,2,2,3
"ST FRANCIS HOSPITAL",4,5,2,3,1,2,1,2
"TWIN CITIES HOSPITAL",4,9,2,3,3,2,2,1
"HEART OF FLORIDA REGIONAL MEDICAL CENTER",2,9,2,2,1,2,1,2
"CORAL GABLES HOSPITAL",3,9,2,3,1,2,2,2
"NORTH FLORIDA REGIONAL MEDICAL CENTER",3,9,1,3,1,2,2,3
"KENDALL REGIONAL MEDICAL CENTER",3,9,2,3,1,2,2,2
"CAPE CORAL HOSPITAL",2,1,2,1,1,2,1,1
"CARTERSVILLE MEDICAL CENTER",4,5,2,3,1,2,2,2
"JOHN D ARCHBOLD MEMORIAL HOSPITAL",3,5,2,3,2,2,1,1
"HABERSHAM COUNTY MEDICAL CTR",3,1,2,2,2,2,2,2
"MEADOWS REGIONAL MEDICAL CENTER",3,9,2,1,3,2,3,1
"SAINT ALPHONSUS MEDICAL CENTER - NAMPA",4,6,2,3,1,2,3,2
"PRESENCE SAINT JOSEPH MEDICAL CENTER",2,6,1,1,2,1,2,2
"ALTON MEMORIAL HOSPITAL",3,5,2,1,2,2,2,3
"BLESSING HOSPITAL",3,5,3,1,3,2,2,3
"MT SINAI HOSPITAL MEDICAL CENTER",2,5,2,1,1,2,1,2
"OSF SAINT ANTHONY'S HEALTH CENTER",3,6,2,2,3,2,2,2
"METROSOUTH MEDICAL CENTER",2,9,1,2,1,2,1,2
"INGALLS MEMORIAL HOSPITAL",3,5,1,3,1,2,2,2
"ALEXIAN BROTHERS MEDICAL CENTER 1",4,6,1,1,2,3,2,2
"KISHWAUKEE COMMUNITY HOSPITAL",4,5,2,3,2,3,3,2
"KING'S DAUGHTERS' HEALTH",4,5,2,3,3,2,3,2
"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL",3,5,2,3,1,2,2,2
"COMMUNITY HOSPITAL SOUTH",4,5,2,3,2,3,2,3
"OTTUMWA REGIONAL HEALTH CENTER",3,9,2,1,1,2,3,1
"SAINT JOSEPH HOSPITAL",2,6,2,1,1,2,1,2
"BAPTIST HEALTH CORBIN",3,5,2,2,2,2,2,2
"EASTERN MAINE MEDICAL CENTER",2,5,3,2,1,2,1,3
"AROOSTOOK MEDICAL CENTER",3,5,2,2,2,2,2,2
"LAWRENCE GENERAL HOSPITAL",2,5,1,1,1,2,1,2
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",3,5,1,1,2,1,1,2
"SPECTRUM HEALTH LUDINGTON HOSPITAL",4,7,2,3,2,2,2,2
"HURLEY MEDICAL CENTER",1,7,2,1,1,1,1,2
"GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK",2,6,1,1,1,1,1,3
"BEAUMONT HOSPITAL, TROY",3,5,1,3,2,2,2,3
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER",1,9,2,1,1,2,1,2
"HURON VALLEY-SINAI HOSPITAL",3,9,2,1,2,2,3,2
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY",4,7,2,3,3,2,3,2
"KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN",4,7,2,2,3,2,2,2
"MERIT HEALTH NATCHEZ",2,9,2,2,1,2,2,1
"SOUTHWEST MS REGIONAL MEDICAL CENTER",2,2,2,1,1,2,2,2
"MERCY HOSPITAL ST LOUIS",4,5,1,3,3,3,2,3
"BARNES JEWISH HOSPITAL",2,7,2,1,3,2,1,3
"MISSOURI BAPTIST MEDICAL CENTER",3,5,1,2,2,2,2,3
"UNIVERSITY OF MISSOURI HEALTH CARE",2,3,3,1,2,2,2,2
"FITZGIBBON HOSPITAL",3,5,2,2,2,1,3,2
"SAINT FRANCIS MEDICAL CENTER",3,6,3,1,3,2,2,1
"BELTON REGIONAL MEDICAL CENTER",3,5,2,3,2,2,3,2
"ST PETER'S HOSPITAL",3,5,3,2,3,2,2,2
"CHI HEALTH GOOD SAMARITAN",3,6,2,2,2,2,3,2
"THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE",2,5,2,1,3,2,1,3
"CLARION HOSPITAL",2,7,2,1,1,2,3,1
"BLAKE MEDICAL CENTER",2,9,3,3,1,2,3,2
"SUMMERLIN HOSPITAL MEDICAL CENTER",3,9,1,1,1,1,1,2
"ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS",1,5,3,1,1,2,1,3
"CLARA MAASS MEDICAL CENTER",3,5,2,3,1,2,1,2
"UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO",3,5,2,3,2,2,1,2
"CAPE REGIONAL MEDICAL CENTER INC",3,5,2,2,2,2,1,1
"RIVERVIEW MEDICAL CENTER",3,9,2,2,2,2,1,2
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL",2,5,2,1,1,2,1,3
"CAPITAL HEALTH MEDICAL CENTER - HOPEWELL",2,5,2,1,1,2,1,2
"HACKENSACK-UMC MOUNTAINSIDE",2,5,2,1,1,1,2,2
"MEMORIAL HOSPITAL OF SALEM COUNTY",3,5,2,2,1,2,2,2
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON",1,5,2,1,1,2,1,3
"LARGO MEDICAL CENTER",2,9,3,2,1,2,3,2
